application_id,monthly_income,monthly_debt,requested_amount,term_months,years_employed,past_due_events,approved
A0001,2175207,759161,7659183,24,16,3,0
A0002,881301,49405,29193819,12,4,5,0
A0003,1171013,713536,14465337,12,12,3,0
A0004,2999337,981571,18054131,48,17,0,1
A0005,3353315,480464,23174404,48,24,5,0
A0006,1926799,233941,10148230,120,5,3,0
A0007,513611,138091,17096882,24,16,0,0
A0008,4151219,2622699,10314145,36,4,2,0
A0009,3698202,677585,18398556,6,19,2,0
A0010,2549360,40845,4053657,60,25,2,0
A0011,1504335,60738,8382309,12,2,5,0
A0012,2538391,145149,25821573,24,4,5,0
A0013,2493478,1153021,5840741,48,16,4,0
A0014,2274769,444173,18395773,36,22,2,0
A0015,2173494,1408629,22106289,60,14,4,0
A0016,2393670,253764,8618332,36,2,2,0
A0017,588224,308443,18886522,36,18,1,0
A0018,530160,37220,24051200,6,7,0,0
A0019,4297606,131755,29144577,60,2,4,0
A0020,1498263,292004,22747169,240,6,4,0
A0021,1054956,598782,19634454,240,7,3,0
A0022,3886887,1707333,6689096,12,3,5,0
A0023,2307959,743015,14512940,120,14,5,0
A0024,727210,353036,22226327,12,1,3,0
A0025,3554349,1423138,27163426,12,7,1,1
A0026,1297793,562336,15352972,24,13,1,1
A0027,1668303,970201,8682113,12,14,4,0
A0028,910658,53045,22182351,6,2,1,0
A0029,1197559,426156,16595412,240,6,3,0
A0030,4285119,245934,5824305,120,0,3,0
A0031,1612342,971524,26609043,240,9,3,0
A0032,3421716,2041247,5494119,36,9,1,0
A0033,745296,303657,24987243,6,23,2,0
A0034,739768,26289,19901747,240,16,4,0
A0035,1160320,59642,17339896,12,5,0,0
A0036,2995758,142524,22956373,36,12,0,1
A0037,4449340,2389391,8561616,6,19,0,0
A0038,2258356,1378611,19884792,60,8,1,0
A0039,3309034,1317782,8308971,48,12,1,1
A0040,3317272,1258278,15641910,60,24,0,1
A0041,539071,240273,21142645,12,2,4,0
A0042,1394033,530458,9198649,24,11,0,1
A0043,4187926,1024603,12699271,48,5,3,0
A0044,3996979,2278421,23906882,48,19,5,0
A0045,2718538,16406,22709770,48,21,0,1
A0046,4438157,563257,9174003,12,3,5,0
A0047,2820388,325997,9438489,48,19,1,1
A0048,3509883,1438144,7131592,48,16,3,0
A0049,1553278,949314,28690529,6,2,5,0
A0050,2276605,580240,1779306,6,10,1,1
A0051,3172247,2054785,9089760,24,23,3,0
A0052,2813915,1479891,14650791,6,3,0,0
A0053,4463830,2898346,5301431,6,11,4,0
A0054,2817458,310575,14721249,24,1,2,0
A0055,2029459,83665,12306085,36,21,1,1
A0056,3297321,431147,12167485,120,19,5,0
A0057,1148243,248237,29311353,24,25,1,0
A0058,4196927,1729288,1131692,24,23,2,0
A0059,3781566,1726850,27218544,36,8,1,0
A0060,3802488,453385,13135970,6,15,1,1
A0061,1337069,856253,15745213,60,9,1,0
A0062,1435009,24813,22447038,36,12,2,0
A0063,1668545,145585,26248536,48,11,5,0
A0064,2636602,838186,23100844,60,0,0,1
A0065,4178565,1095615,6291741,48,1,0,1
A0066,3002201,911346,11899334,60,13,4,0
A0067,2645063,242526,13225013,36,8,0,1
A0068,3472860,1828957,356749,36,11,3,0
A0069,793491,497483,22588118,60,19,2,0
A0070,3282448,522716,24450945,48,16,2,0
A0071,3297151,1712924,11244882,120,22,2,0
A0072,2825374,266941,6737085,120,21,3,0
A0073,3340877,729923,20953253,48,12,4,0
A0074,3996896,1702,10496351,48,6,3,0
A0075,3795711,2432632,20656184,60,14,3,0
A0076,2354552,1416893,7470629,240,25,5,0
A0077,1211737,690855,3145266,48,16,5,0
A0078,3154746,1298684,11547051,12,24,1,1
A0079,3321909,1301993,7837689,36,4,0,1
A0080,693834,128368,16242930,12,14,3,0
A0081,4216727,2641427,19616310,36,22,5,0
A0082,2110522,1036784,13710124,36,4,5,0
A0083,3384097,23256,25498186,12,24,3,0
A0084,1417886,184430,27281449,240,1,4,0
A0085,1545213,962037,28765444,12,14,1,0
A0086,3861384,1948854,22700191,60,24,3,0
A0087,3069650,1709192,24434829,120,17,3,0
A0088,4263163,667556,25252935,240,14,2,0
A0089,3653180,1036998,28481122,48,24,4,0
A0090,2532547,1314386,8327759,48,14,0,0
A0091,3492824,1198430,8168298,48,10,2,0
A0092,4245626,2265562,3003737,24,4,1,0
A0093,2106566,320455,24003493,36,2,3,0
A0094,2209595,693908,18507008,240,13,0,1
A0095,1367526,873349,14397677,120,24,4,0
A0096,4468071,81922,29047156,120,15,0,1
A0097,4454145,1475383,10319777,120,13,4,0
A0098,3635307,2290644,27139122,36,15,1,0
A0099,1644773,914014,16595441,6,12,2,0
A0100,3305459,1695827,24599494,24,14,1,0
