month,category,type,amount
1,salary,income,1329001
1,housing,expense,388081
1,food,expense,183161
1,transport,expense,81236
1,utilities,expense,72648
1,health,expense,46272
1,leisure,expense,63765
2,salary,income,1214083
2,housing,expense,414753
2,food,expense,175706
2,transport,expense,81173
2,utilities,expense,70060
2,health,expense,41591
2,leisure,expense,57109
3,salary,income,1331176
3,housing,expense,423020
3,food,expense,181501
3,transport,expense,86214
3,utilities,expense,73466
3,health,expense,41447
3,leisure,expense,62936
4,salary,income,1341213
4,housing,expense,409265
4,food,expense,179527
4,transport,expense,91218
4,utilities,expense,68170
4,health,expense,42068
4,leisure,expense,56128
5,salary,income,1372279
5,housing,expense,426970
5,food,expense,199337
5,transport,expense,88124
5,utilities,expense,70406
5,health,expense,48406
5,leisure,expense,58834
6,salary,income,1310824
6,housing,expense,442136
6,food,expense,193603
6,transport,expense,89919
6,utilities,expense,70866
6,health,expense,46473
6,leisure,expense,55640
7,salary,income,1243403
7,housing,expense,405847
7,food,expense,177226
7,transport,expense,81366
7,utilities,expense,65531
7,health,expense,43401
7,leisure,expense,61303
8,salary,income,1271885
8,housing,expense,411276
8,food,expense,181169
8,transport,expense,81831
8,utilities,expense,74891
8,health,expense,46066
8,leisure,expense,61048
9,salary,income,1231597
9,housing,expense,435397
9,food,expense,179767
9,transport,expense,83361
9,utilities,expense,75483
9,health,expense,46008
9,leisure,expense,60547
10,salary,income,1338400
10,housing,expense,443040
10,food,expense,198390
10,transport,expense,81315
10,utilities,expense,64760
10,health,expense,43671
10,leisure,expense,57770
11,salary,income,1239884
11,housing,expense,449764
11,food,expense,201442
11,transport,expense,82480
11,utilities,expense,71741
11,health,expense,44249
11,leisure,expense,63980
12,salary,income,1291441
12,housing,expense,404200
12,food,expense,182297
12,transport,expense,85835
12,utilities,expense,67343
12,health,expense,45609
12,leisure,expense,63819
