consent_id,customer_ref,provider_id,institution_id,purpose,presented_scopes,granted_scopes,notice_version,auth_method,channel,created_at,expires_at,status,revoked_at,revoked_by,revocation_reason,seconds_on_consent_screen,opened_scope_detail
cns_00001,cus_synthetic_0137,tpp_001,bank_002,comparador de credito,accounts:list|accounts:transactions|credits:arrears|investments:position|payments:initiate,accounts:transactions|credits:arrears|investments:position|payments:initiate,consent-notice-v2,sca-app,web,2026-04-08,2027-04-03,vigente,,,,2.8,0
cns_00002,cus_synthetic_0109,tpp_001,bank_002,iniciacion de pago unico,credits:position|investments:position,credits:position,consent-notice-v3,sca-otp,web,2026-01-17,2027-01-12,rechazado,,,,3.5,0
cns_00003,cus_synthetic_0192,tpp_011,bank_004,salud financiera,accounts:balances|accounts:transactions|investments:position,accounts:balances|accounts:transactions|investments:position,consent-notice-v2,sca-otp,web,2026-04-28,2026-10-25,vigente,,,,1.8,0
cns_00004,cus_synthetic_0116,tpp_011,bank_005,comparador de credito,accounts:list|credits:arrears|credits:position|payments:initiate,credits:arrears|payments:initiate,consent-notice-v2,sca-app,web,2026-03-24,2026-09-20,vigente,,,,3.6,0
cns_00005,cus_synthetic_0397,tpp_010,bank_003,comparador de credito,accounts:transactions|credits:position|payments:initiate,accounts:transactions|credits:position,consent-notice-v3,sca-biometria,movil,2026-05-18,2026-11-14,revocado,2026-07-02,institucion,ya no lo uso,6.1,0
cns_00006,cus_synthetic_0043,tpp_006,bank_001,panel de posicion consolidada,investments:position,investments:position,consent-notice-v2,sca-otp,movil,2026-05-02,2026-10-29,revocado,2026-06-23,cliente,no indicado,2.9,0
cns_00007,cus_synthetic_0045,tpp_009,bank_003,comparador de credito,accounts:balances|accounts:transactions|credits:position|investments:position|payments:initiate,accounts:balances|accounts:transactions|payments:initiate,consent-notice-v2,sca-biometria,web,2026-01-30,2027-01-25,revocado,2026-02-03,cliente,ya no lo uso,1.9,0
cns_00008,cus_synthetic_0165,tpp_002,bank_003,iniciacion de pago unico,accounts:balances|accounts:list|accounts:transactions|credits:position|investments:position|payments:initiate,accounts:balances|credits:position|investments:position|payments:initiate,consent-notice-v3,sca-app,movil,2026-05-21,2027-05-16,vigente,,,,4.5,0
cns_00009,cus_synthetic_0128,tpp_003,bank_005,categorizacion de gastos,accounts:balances|accounts:transactions,accounts:balances|accounts:transactions,consent-notice-v3,sca-biometria,web,2026-04-20,2027-04-15,rechazado,,,,1.2,0
cns_00010,cus_synthetic_0032,tpp_002,bank_002,categorizacion de gastos,accounts:list|credits:arrears|credits:position|investments:position,accounts:list|credits:arrears|credits:position,consent-notice-v2,sca-app,movil,2026-06-22,2026-12-19,vigente,,,,3.0,0
cns_00011,cus_synthetic_0093,tpp_002,bank_002,categorizacion de gastos,accounts:balances|accounts:list|accounts:transactions|credits:arrears|credits:position|payments:initiate,accounts:balances|accounts:list|accounts:transactions|payments:initiate,consent-notice-v2,sca-app,movil,2026-02-24,2026-05-25,revocado,2026-03-21,cliente,no indicado,1.2,0
cns_00012,cus_synthetic_0026,tpp_006,bank_001,comparador de credito,accounts:balances,accounts:balances,consent-notice-v3,sca-otp,web,2026-06-15,2026-09-13,vigente,,,,4.9,0
cns_00013,cus_synthetic_0281,tpp_004,bank_001,categorizacion de gastos,credits:arrears|investments:position,investments:position,consent-notice-v3,sca-otp,web,2026-06-11,2027-06-06,vigente,,,,6.0,0
cns_00014,cus_synthetic_0347,tpp_007,bank_002,salud financiera,accounts:list|credits:arrears|credits:position|investments:position|payments:initiate,accounts:list|credits:position|investments:position|payments:initiate,consent-notice-v3,sca-app,movil,2026-06-18,2026-09-16,revocado,2026-09-02,cliente,no reconozco al proveedor,3.5,0
cns_00015,cus_synthetic_0339,tpp_009,bank_005,comparador de credito,accounts:list|investments:position|payments:initiate,accounts:list|investments:position,consent-notice-v2,sca-app,web,2026-03-20,2026-09-16,vigente,,,,9.8,0
cns_00016,cus_synthetic_0221,tpp_004,bank_003,comparador de credito,accounts:balances|accounts:list|credits:position|investments:position|payments:initiate,credits:position|investments:position|payments:initiate,consent-notice-v2,sca-biometria,movil,2026-05-07,2026-08-05,revocado,2026-06-14,cliente,no reconozco al proveedor,1.2,0
cns_00017,cus_synthetic_0322,tpp_009,bank_005,salud financiera,credits:position|payments:initiate,credits:position,consent-notice-v2,sca-app,movil,2026-06-12,2027-06-07,vigente,,,,4.2,0
cns_00018,cus_synthetic_0333,tpp_002,bank_001,salud financiera,accounts:list|accounts:transactions|credits:arrears|credits:position,accounts:list|accounts:transactions|credits:arrears|credits:position,consent-notice-v2,sca-biometria,web,2026-04-20,2027-04-15,vigente,,,,5.2,0
cns_00019,cus_synthetic_0039,tpp_001,bank_005,iniciacion de pago unico,accounts:list|credits:position|investments:position,accounts:list,consent-notice-v3,sca-app,web,2026-03-20,2026-09-16,vigente,,,,4.4,0
cns_00020,cus_synthetic_0124,tpp_001,bank_004,categorizacion de gastos,accounts:balances|accounts:list|accounts:transactions|credits:arrears|credits:position,accounts:list|accounts:transactions|credits:arrears|credits:position,consent-notice-v2,sca-biometria,web,2026-03-04,2026-08-31,vigente,,,,2.9,0
cns_00021,cus_synthetic_0045,tpp_009,bank_004,salud financiera,accounts:list|credits:arrears|credits:position|investments:position,credits:arrears|credits:position,consent-notice-v2,sca-biometria,web,2026-05-10,2026-11-06,revocado,2026-05-11,institucion,cambio de aplicacion,7.1,0
cns_00022,cus_synthetic_0102,tpp_005,bank_004,panel de posicion consolidada,accounts:balances|credits:arrears|credits:position|payments:initiate,accounts:balances|credits:arrears,consent-notice-v3,sca-otp,web,2026-03-09,2027-03-04,revocado,2026-04-21,cliente,cambio de aplicacion,8.2,0
cns_00023,cus_synthetic_0134,tpp_003,bank_005,iniciacion de pago unico,accounts:balances|accounts:list|accounts:transactions|credits:position|investments:position,accounts:balances|accounts:list|credits:position,consent-notice-v2,sca-app,movil,2026-05-07,2027-05-02,vigente,,,,5.2,0
cns_00024,cus_synthetic_0392,tpp_007,bank_004,comparador de credito,accounts:list|investments:position,accounts:list|investments:position,consent-notice-v2,sca-biometria,movil,2026-05-08,2026-11-04,vigente,,,,1.5,0
cns_00025,cus_synthetic_0375,tpp_009,bank_002,iniciacion de pago unico,accounts:list|credits:position|investments:position|payments:initiate,accounts:list|credits:position|investments:position,consent-notice-v2,sca-otp,movil,2026-04-09,2027-04-04,rechazado,,,,3.2,0
cns_00026,cus_synthetic_0127,tpp_010,bank_001,iniciacion de pago unico,credits:arrears|investments:position|payments:initiate,credits:arrears|payments:initiate,consent-notice-v2,sca-app,movil,2026-02-24,2027-02-19,vigente,,,,4.1,0
cns_00027,cus_synthetic_0043,tpp_005,bank_001,categorizacion de gastos,accounts:list|credits:arrears|payments:initiate,credits:arrears|payments:initiate,consent-notice-v2,sca-otp,web,2026-04-09,2027-04-04,revocado,2026-05-01,institucion,ya no lo uso,4.2,0
cns_00028,cus_synthetic_0167,tpp_005,bank_005,panel de posicion consolidada,accounts:list,accounts:list,consent-notice-v2,sca-otp,web,2026-03-09,2026-06-07,rechazado,,,,2.5,0
cns_00029,cus_synthetic_0195,tpp_012,bank_001,panel de posicion consolidada,accounts:list|accounts:transactions|credits:arrears|credits:position|investments:position,accounts:transactions|credits:arrears|credits:position|investments:position,consent-notice-v3,sca-otp,movil,2026-06-08,2026-09-06,vigente,,,,6.0,0
cns_00030,cus_synthetic_0080,tpp_012,bank_002,iniciacion de pago unico,accounts:balances|credits:arrears|credits:position|payments:initiate,accounts:balances|payments:initiate,consent-notice-v3,sca-otp,movil,2026-05-19,2026-11-15,vigente,,,,1.9,0
cns_00031,cus_synthetic_0271,tpp_011,bank_004,panel de posicion consolidada,accounts:balances|accounts:transactions|credits:position|investments:position|payments:initiate,accounts:transactions|investments:position|payments:initiate,consent-notice-v2,sca-otp,movil,2026-04-12,2027-04-07,revocado,2026-06-11,institucion,cambio de aplicacion,3.5,0
cns_00032,cus_synthetic_0158,tpp_008,bank_003,categorizacion de gastos,credits:arrears|credits:position|investments:position,credits:arrears|credits:position,consent-notice-v2,sca-app,movil,2026-05-09,2026-11-05,vigente,,,,3.4,0
cns_00033,cus_synthetic_0302,tpp_010,bank_002,iniciacion de pago unico,accounts:balances|accounts:transactions,accounts:transactions,consent-notice-v3,sca-app,movil,2026-06-19,2027-06-14,expirado,,,,2.7,0
cns_00034,cus_synthetic_0148,tpp_008,bank_005,iniciacion de pago unico,accounts:balances|payments:initiate,accounts:balances|payments:initiate,consent-notice-v2,sca-otp,web,2026-04-16,2027-04-11,revocado,2026-05-13,cliente,cese de la relacion,1.6,0
cns_00035,cus_synthetic_0349,tpp_008,bank_003,categorizacion de gastos,accounts:transactions|credits:arrears|investments:position|payments:initiate,accounts:transactions|credits:arrears,consent-notice-v2,sca-app,web,2026-05-24,2026-11-20,vigente,,,,1.3,0
cns_00036,cus_synthetic_0067,tpp_005,bank_003,salud financiera,accounts:balances|credits:position,accounts:balances,consent-notice-v2,sca-biometria,web,2026-02-06,2027-02-01,vigente,,,,3.3,0
cns_00037,cus_synthetic_0079,tpp_006,bank_001,iniciacion de pago unico,credits:position,credits:position,consent-notice-v2,sca-biometria,web,2026-01-08,2026-07-07,revocado,2026-01-08,cliente,ya no lo uso,6.7,0
cns_00038,cus_synthetic_0386,tpp_005,bank_004,iniciacion de pago unico,accounts:balances|accounts:transactions|investments:position|payments:initiate,accounts:transactions|investments:position|payments:initiate,consent-notice-v3,sca-biometria,movil,2026-01-13,2027-01-08,vigente,,,,6.7,0
cns_00039,cus_synthetic_0085,tpp_001,bank_005,panel de posicion consolidada,accounts:balances|accounts:list|credits:position|investments:position,accounts:balances|accounts:list|investments:position,consent-notice-v2,sca-otp,web,2026-01-21,2027-01-16,expirado,,,,3.2,0
cns_00040,cus_synthetic_0079,tpp_008,bank_002,categorizacion de gastos,accounts:list|accounts:transactions|investments:position,accounts:list|investments:position,consent-notice-v3,sca-otp,movil,2026-04-17,2027-04-12,vigente,,,,2.1,0
cns_00041,cus_synthetic_0022,tpp_004,bank_005,panel de posicion consolidada,accounts:list|accounts:transactions|investments:position|payments:initiate,accounts:list|accounts:transactions|investments:position|payments:initiate,consent-notice-v2,sca-biometria,movil,2026-04-16,2027-04-11,revocado,2026-05-09,institucion,cambio de aplicacion,1.5,0
cns_00042,cus_synthetic_0181,tpp_001,bank_003,categorizacion de gastos,accounts:balances|accounts:list|accounts:transactions|credits:position|investments:position|payments:initiate,accounts:list|accounts:transactions|credits:position|payments:initiate,consent-notice-v3,sca-biometria,web,2026-04-08,2026-07-07,vigente,,,,3.2,0
cns_00043,cus_synthetic_0344,tpp_007,bank_003,iniciacion de pago unico,accounts:list|accounts:transactions|credits:position,accounts:transactions,consent-notice-v3,sca-biometria,web,2026-02-10,2027-02-05,vigente,,,,2.9,0
cns_00044,cus_synthetic_0317,tpp_003,bank_001,salud financiera,accounts:balances|accounts:list|accounts:transactions|credits:position|investments:position|payments:initiate,accounts:list|credits:position|investments:position|payments:initiate,consent-notice-v3,sca-app,movil,2026-01-09,2027-01-04,vigente,,,,3.3,0
cns_00045,cus_synthetic_0022,tpp_010,bank_003,salud financiera,accounts:transactions|credits:arrears|investments:position|payments:initiate,accounts:transactions|credits:arrears|investments:position|payments:initiate,consent-notice-v2,sca-otp,web,2026-01-24,2026-04-24,vigente,,,,2.1,0
cns_00046,cus_synthetic_0155,tpp_011,bank_003,comparador de credito,accounts:balances|accounts:list|accounts:transactions|investments:position,accounts:balances|accounts:list|investments:position,consent-notice-v3,sca-app,web,2026-03-19,2026-09-15,vigente,,,,1.3,0
cns_00047,cus_synthetic_0200,tpp_010,bank_005,panel de posicion consolidada,accounts:transactions|credits:arrears|credits:position|investments:position|payments:initiate,accounts:transactions|credits:position|investments:position,consent-notice-v2,sca-app,web,2026-06-13,2027-06-08,vigente,,,,3.0,0
cns_00048,cus_synthetic_0324,tpp_004,bank_003,comparador de credito,accounts:balances|accounts:list|payments:initiate,payments:initiate,consent-notice-v2,sca-otp,web,2026-04-17,2027-04-12,vigente,,,,1.9,0
cns_00049,cus_synthetic_0111,tpp_005,bank_005,comparador de credito,accounts:list|credits:position|payments:initiate,accounts:list|credits:position|payments:initiate,consent-notice-v3,sca-otp,web,2026-06-26,2027-06-21,revocado,2026-08-02,cliente,cese de la relacion,4.1,0
cns_00050,cus_synthetic_0358,tpp_010,bank_004,comparador de credito,accounts:balances|accounts:list|accounts:transactions|credits:position,accounts:balances|accounts:list|accounts:transactions|credits:position,consent-notice-v3,sca-biometria,movil,2026-04-27,2027-04-22,vigente,,,,1.9,0
cns_00051,cus_synthetic_0168,tpp_001,bank_001,panel de posicion consolidada,accounts:balances,accounts:balances,consent-notice-v2,sca-app,web,2026-02-19,2027-02-14,expirado,,,,2.8,0
cns_00052,cus_synthetic_0192,tpp_005,bank_002,panel de posicion consolidada,accounts:balances|accounts:list|credits:arrears|credits:position|investments:position,accounts:list|credits:arrears|credits:position|investments:position,consent-notice-v2,sca-app,movil,2026-06-11,2027-06-06,rechazado,,,,0.6,0
cns_00053,cus_synthetic_0348,tpp_007,bank_002,panel de posicion consolidada,accounts:balances|accounts:list,accounts:balances|accounts:list,consent-notice-v3,sca-biometria,movil,2026-03-09,2026-09-05,expirado,,,,1.4,0
cns_00054,cus_synthetic_0243,tpp_009,bank_004,salud financiera,credits:arrears|investments:position,credits:arrears|investments:position,consent-notice-v3,sca-biometria,web,2026-05-22,2026-11-18,vigente,,,,4.1,0
cns_00055,cus_synthetic_0267,tpp_008,bank_005,iniciacion de pago unico,accounts:balances|accounts:list|credits:arrears|credits:position|investments:position,accounts:balances|accounts:list|credits:arrears|investments:position,consent-notice-v3,sca-biometria,movil,2026-03-12,2027-03-07,expirado,,,,4.9,0
cns_00056,cus_synthetic_0172,tpp_006,bank_004,comparador de credito,accounts:balances|accounts:list|accounts:transactions|credits:arrears|investments:position|payments:initiate,accounts:balances|accounts:list|accounts:transactions|investments:position,consent-notice-v3,sca-app,movil,2026-06-28,2027-06-23,vigente,,,,4.2,0
cns_00057,cus_synthetic_0264,tpp_003,bank_001,iniciacion de pago unico,accounts:transactions|credits:arrears|credits:position|investments:position,accounts:transactions|credits:position|investments:position,consent-notice-v3,sca-biometria,movil,2026-05-02,2026-07-31,revocado,2026-05-05,cliente,cese de la relacion,3.3,0
cns_00058,cus_synthetic_0033,tpp_011,bank_004,comparador de credito,accounts:balances|accounts:transactions|credits:arrears|credits:position|payments:initiate,accounts:balances|accounts:transactions|credits:position|payments:initiate,consent-notice-v3,sca-otp,movil,2026-04-26,2027-04-21,expirado,,,,3.3,0
cns_00059,cus_synthetic_0206,tpp_004,bank_003,panel de posicion consolidada,accounts:list|credits:arrears|investments:position,accounts:list|investments:position,consent-notice-v2,sca-app,movil,2026-03-04,2027-02-27,rechazado,,,,1.3,0
cns_00060,cus_synthetic_0280,tpp_006,bank_002,categorizacion de gastos,accounts:list|credits:arrears|investments:position|payments:initiate,accounts:list|credits:arrears|payments:initiate,consent-notice-v3,sca-biometria,web,2026-02-05,2027-01-31,vigente,,,,0.7,0
cns_00061,cus_synthetic_0170,tpp_007,bank_004,comparador de credito,accounts:balances|accounts:transactions|credits:arrears,accounts:balances,consent-notice-v3,sca-app,web,2026-02-03,2026-08-02,revocado,2026-02-23,institucion,no reconozco al proveedor,2.2,0
cns_00062,cus_synthetic_0025,tpp_002,bank_001,comparador de credito,accounts:list|accounts:transactions|credits:arrears|payments:initiate,accounts:list|accounts:transactions|credits:arrears|payments:initiate,consent-notice-v2,sca-app,web,2026-05-23,2027-05-18,revocado,2026-07-15,cliente,cese de la relacion,2.6,0
cns_00063,cus_synthetic_0277,tpp_005,bank_002,iniciacion de pago unico,accounts:list|accounts:transactions|investments:position|payments:initiate,investments:position|payments:initiate,consent-notice-v3,sca-otp,movil,2026-06-23,2027-06-18,vigente,,,,2.1,0
cns_00064,cus_synthetic_0178,tpp_002,bank_003,panel de posicion consolidada,accounts:list|accounts:transactions|payments:initiate,accounts:list|accounts:transactions|payments:initiate,consent-notice-v2,sca-biometria,web,2026-01-15,2027-01-10,vigente,,,,1.6,0
cns_00065,cus_synthetic_0134,tpp_007,bank_004,iniciacion de pago unico,accounts:list|accounts:transactions|payments:initiate,accounts:transactions|payments:initiate,consent-notice-v2,sca-biometria,movil,2026-05-01,2027-04-26,vigente,,,,3.1,0
cns_00066,cus_synthetic_0390,tpp_012,bank_002,comparador de credito,accounts:list|accounts:transactions|credits:arrears|payments:initiate,accounts:list|accounts:transactions|payments:initiate,consent-notice-v3,sca-otp,movil,2026-02-11,2026-08-10,vigente,,,,8.2,0
cns_00067,cus_synthetic_0311,tpp_011,bank_001,comparador de credito,accounts:balances|credits:arrears|investments:position,credits:arrears,consent-notice-v3,sca-app,web,2026-03-06,2026-09-02,vigente,,,,3.3,0
cns_00068,cus_synthetic_0269,tpp_011,bank_001,comparador de credito,investments:position|payments:initiate,investments:position,consent-notice-v2,sca-app,movil,2026-04-27,2027-04-22,vigente,,,,1.8,0
cns_00069,cus_synthetic_0157,tpp_004,bank_005,panel de posicion consolidada,accounts:balances|accounts:list|credits:position|payments:initiate,accounts:list|credits:position|payments:initiate,consent-notice-v3,sca-app,web,2026-05-05,2027-04-30,vigente,,,,4.8,0
cns_00070,cus_synthetic_0012,tpp_005,bank_001,comparador de credito,accounts:balances|accounts:transactions|credits:arrears,accounts:transactions|credits:arrears,consent-notice-v3,sca-biometria,web,2026-01-14,2026-04-14,vigente,,,,1.4,0
cns_00071,cus_synthetic_0281,tpp_009,bank_004,salud financiera,accounts:balances|accounts:list|accounts:transactions|credits:arrears|investments:position,accounts:balances|accounts:list|accounts:transactions|credits:arrears,consent-notice-v2,sca-otp,movil,2026-07-04,2027-06-29,vigente,,,,1.3,0
cns_00072,cus_synthetic_0167,tpp_001,bank_004,panel de posicion consolidada,credits:arrears|investments:position|payments:initiate,credits:arrears|payments:initiate,consent-notice-v3,sca-biometria,movil,2026-03-07,2027-03-02,revocado,2026-03-16,cliente,no indicado,2.5,0
cns_00073,cus_synthetic_0323,tpp_004,bank_001,comparador de credito,accounts:list|credits:position|payments:initiate,accounts:list|credits:position|payments:initiate,consent-notice-v3,sca-otp,web,2026-05-14,2026-11-10,revocado,2026-05-17,cliente,ya no lo uso,3.1,0
cns_00074,cus_synthetic_0242,tpp_006,bank_004,categorizacion de gastos,accounts:balances|accounts:list|credits:arrears|investments:position,accounts:balances|accounts:list|investments:position,consent-notice-v2,sca-app,movil,2026-07-01,2027-06-26,revocado,2026-07-29,institucion,ya no lo uso,2.3,0
cns_00075,cus_synthetic_0191,tpp_007,bank_004,comparador de credito,accounts:list|accounts:transactions|credits:position|investments:position,accounts:list|credits:position,consent-notice-v2,sca-biometria,web,2026-04-27,2026-10-24,vigente,,,,1.8,0
cns_00076,cus_synthetic_0186,tpp_001,bank_005,comparador de credito,payments:initiate,payments:initiate,consent-notice-v2,sca-app,web,2026-01-28,2026-04-28,vigente,,,,9.8,0
cns_00077,cus_synthetic_0298,tpp_009,bank_001,comparador de credito,accounts:balances|accounts:list|accounts:transactions|credits:position|investments:position,accounts:balances|accounts:list|accounts:transactions|credits:position,consent-notice-v3,sca-app,movil,2026-05-23,2026-08-21,revocado,2026-05-29,cliente,no reconozco al proveedor,1.4,0
cns_00078,cus_synthetic_0349,tpp_002,bank_001,iniciacion de pago unico,credits:position|investments:position|payments:initiate,credits:position|investments:position|payments:initiate,consent-notice-v2,sca-biometria,web,2026-01-06,2027-01-01,vigente,,,,1.7,0
cns_00079,cus_synthetic_0063,tpp_007,bank_001,categorizacion de gastos,accounts:balances|accounts:list|credits:arrears|payments:initiate,accounts:balances|accounts:list|payments:initiate,consent-notice-v2,sca-app,movil,2026-06-20,2027-06-15,vigente,,,,7.9,0
cns_00080,cus_synthetic_0381,tpp_007,bank_005,comparador de credito,accounts:balances|accounts:transactions|credits:arrears|investments:position|payments:initiate,accounts:balances|credits:arrears|payments:initiate,consent-notice-v3,sca-app,movil,2026-03-29,2027-03-24,vigente,,,,0.9,1
cns_00081,cus_synthetic_0037,tpp_002,bank_001,comparador de credito,accounts:balances|accounts:transactions|investments:position,accounts:balances|accounts:transactions|investments:position,consent-notice-v2,sca-app,movil,2026-06-30,2027-06-25,vigente,,,,2.7,0
cns_00082,cus_synthetic_0046,tpp_005,bank_003,panel de posicion consolidada,accounts:transactions|investments:position,accounts:transactions|investments:position,consent-notice-v2,sca-biometria,movil,2026-06-02,2027-05-28,expirado,,,,1.9,0
cns_00083,cus_synthetic_0114,tpp_012,bank_002,categorizacion de gastos,accounts:balances|accounts:list|credits:arrears|credits:position|payments:initiate,accounts:list|credits:arrears|credits:position|payments:initiate,consent-notice-v2,sca-app,movil,2026-07-03,2026-12-30,vigente,,,,7.2,0
cns_00084,cus_synthetic_0179,tpp_005,bank_001,salud financiera,accounts:list|credits:arrears|payments:initiate,accounts:list|payments:initiate,consent-notice-v2,sca-app,web,2026-01-13,2027-01-08,vigente,,,,5.1,0
cns_00085,cus_synthetic_0343,tpp_001,bank_002,comparador de credito,credits:arrears|investments:position|payments:initiate,credits:arrears|investments:position|payments:initiate,consent-notice-v2,sca-otp,movil,2026-06-23,2027-06-18,vigente,,,,1.0,0
cns_00086,cus_synthetic_0336,tpp_008,bank_005,categorizacion de gastos,payments:initiate,payments:initiate,consent-notice-v3,sca-otp,movil,2026-05-08,2027-05-03,rechazado,,,,3.1,0
cns_00087,cus_synthetic_0144,tpp_008,bank_003,comparador de credito,accounts:transactions|credits:position,credits:position,consent-notice-v2,sca-biometria,movil,2026-05-22,2026-11-18,vigente,,,,6.9,0
cns_00088,cus_synthetic_0388,tpp_002,bank_004,iniciacion de pago unico,accounts:list|credits:position|payments:initiate,accounts:list|payments:initiate,consent-notice-v2,sca-biometria,movil,2026-05-04,2026-08-02,vigente,,,,4.8,0
cns_00089,cus_synthetic_0087,tpp_009,bank_005,iniciacion de pago unico,accounts:balances|credits:arrears|credits:position|investments:position,accounts:balances|credits:arrears|credits:position|investments:position,consent-notice-v3,sca-otp,movil,2026-06-26,2027-06-21,vigente,,,,4.9,0
cns_00090,cus_synthetic_0119,tpp_004,bank_002,comparador de credito,accounts:transactions|credits:arrears|investments:position|payments:initiate,accounts:transactions|credits:arrears|investments:position|payments:initiate,consent-notice-v2,sca-app,movil,2026-02-20,2027-02-15,revocado,2026-04-06,cliente,cese de la relacion,2.1,0
cns_00091,cus_synthetic_0259,tpp_002,bank_002,categorizacion de gastos,accounts:transactions|payments:initiate,payments:initiate,consent-notice-v2,sca-otp,web,2026-03-24,2026-09-20,revocado,2026-03-28,cliente,ya no lo uso,1.6,0
cns_00092,cus_synthetic_0243,tpp_006,bank_005,comparador de credito,credits:arrears,credits:arrears,consent-notice-v3,sca-biometria,web,2026-06-16,2027-06-11,revocado,2026-06-18,institucion,no indicado,2.2,0
cns_00093,cus_synthetic_0097,tpp_002,bank_001,iniciacion de pago unico,accounts:list|accounts:transactions|credits:arrears|credits:position,accounts:list|accounts:transactions|credits:arrears|credits:position,consent-notice-v2,sca-otp,web,2026-01-12,2027-01-07,revocado,2026-01-14,cliente,ya no lo uso,6.4,0
cns_00094,cus_synthetic_0365,tpp_012,bank_004,categorizacion de gastos,credits:position|investments:position,credits:position|investments:position,consent-notice-v3,sca-otp,web,2026-05-28,2027-05-23,revocado,2026-05-29,cliente,cambio de aplicacion,3.2,0
cns_00095,cus_synthetic_0146,tpp_009,bank_001,comparador de credito,accounts:list|accounts:transactions|credits:arrears|credits:position|investments:position|payments:initiate,accounts:list|accounts:transactions|credits:arrears|investments:position,consent-notice-v2,sca-app,web,2026-02-26,2026-08-25,expirado,,,,3.3,0
cns_00096,cus_synthetic_0267,tpp_010,bank_004,categorizacion de gastos,accounts:balances|accounts:list|credits:position|payments:initiate,accounts:balances|accounts:list|credits:position|payments:initiate,consent-notice-v3,sca-biometria,web,2026-02-14,2027-02-09,vigente,,,,5.3,0
cns_00097,cus_synthetic_0008,tpp_006,bank_003,panel de posicion consolidada,accounts:balances|accounts:list|accounts:transactions|credits:position|investments:position|payments:initiate,accounts:list|accounts:transactions|investments:position|payments:initiate,consent-notice-v3,sca-app,web,2026-05-28,2026-11-24,vigente,,,,3.0,0
cns_00098,cus_synthetic_0259,tpp_001,bank_002,panel de posicion consolidada,accounts:balances|accounts:list|accounts:transactions,accounts:balances|accounts:list,consent-notice-v2,sca-app,web,2026-04-03,2027-03-29,vigente,,,,4.9,0
cns_00099,cus_synthetic_0319,tpp_012,bank_004,salud financiera,accounts:transactions|credits:arrears|credits:position|investments:position|payments:initiate,accounts:transactions|credits:position|investments:position,consent-notice-v2,sca-otp,movil,2026-05-12,2027-05-07,vigente,,,,2.2,0
cns_00100,cus_synthetic_0220,tpp_010,bank_004,iniciacion de pago unico,accounts:list|investments:position|payments:initiate,investments:position|payments:initiate,consent-notice-v2,sca-app,movil,2026-05-28,2026-11-24,vigente,,,,1.8,0
cns_00101,cus_synthetic_0265,tpp_012,bank_003,iniciacion de pago unico,accounts:list|credits:arrears|investments:position,accounts:list|credits:arrears|investments:position,consent-notice-v2,sca-biometria,movil,2026-03-02,2026-05-31,vigente,,,,3.3,0
