corridor_id,origin,destination,operator,send_fee,applied_rate,reference_rate,intermediary_fee,payout_fee,declared_hours,payout_channel
cor_001,CL,PH,Alfa,4443.59,11.740642,12.389128,0,181.93,72,billetera
cor_002,CL,PH,Beta,16187.8,12.290316,12.389128,0,218.64,48,efectivo
cor_003,CL,PH,Gamma,5457.92,12.103936,12.389128,0,259.01,0.5,efectivo
cor_004,CL,PH,Delta,15374.5,12.272866,12.389128,0,234.6,24,billetera
cor_005,CL,VN,Alfa,4034.73,25.941002,27.290667,15,216.02,72,billetera
cor_006,CL,VN,Beta,12173.51,27.109768,27.290667,0,64.64,0.5,cuenta
cor_007,CL,VN,Gamma,14363.11,26.187035,27.290667,0,215.57,48,cuenta
cor_008,CL,VN,Delta,8251.93,26.610412,27.290667,22,38.83,0.5,efectivo
cor_009,US,MX,Alfa,9455.5,4.604409,4.850176,0,24.31,24,billetera
cor_010,US,MX,Beta,5863.64,4.81802,4.850176,22,148.65,0.5,efectivo
cor_011,US,MX,Gamma,18714.44,4.610431,4.850176,0,207.39,24,billetera
cor_012,US,MX,Delta,19336.6,4.742115,4.850176,0,235.42,24,efectivo
cor_013,ES,CO,Alfa,3321.36,50.71679,52.576284,0,254.39,0.5,billetera
cor_014,ES,CO,Beta,14694.89,51.584755,52.576284,15,59.39,24,cuenta
cor_015,ES,CO,Gamma,7714.76,49.983672,52.576284,0,248.11,72,cuenta
cor_016,ES,CO,Delta,19598.56,50.717277,52.576284,15,213.56,0.1,efectivo
cor_017,US,GT,Alfa,288.24,1.347387,1.417087,0,25.73,2,cuenta
cor_018,US,GT,Beta,15052.55,1.349379,1.417087,0,225.93,24,efectivo
cor_019,US,GT,Gamma,4291.39,1.388805,1.417087,22,261.87,48,cuenta
cor_020,US,GT,Delta,12998.73,1.398954,1.417087,0,187.41,0.5,billetera
cor_021,AE,IN,Alfa,7325.95,44.777016,45.879527,15,279.67,0.5,cuenta
cor_022,AE,IN,Beta,15950.75,44.30591,45.879527,15,154.47,2,billetera
cor_023,AE,IN,Gamma,1611.91,44.197049,45.879527,0,26.76,72,efectivo
cor_024,AE,IN,Delta,12332.19,45.167423,45.879527,0,123.55,72,billetera
cor_025,SG,ID,Alfa,7159.6,2.448907,2.561761,15,195.18,48,efectivo
cor_026,SG,ID,Beta,8807.85,2.462901,2.561761,0,184.07,48,cuenta
cor_027,SG,ID,Gamma,15444.68,2.486487,2.561761,15,86.33,0.5,billetera
cor_028,SG,ID,Delta,9892.66,2.483306,2.561761,0,226.53,2,cuenta
cor_029,ZA,ZW,Alfa,5876.77,44.903862,46.436181,22,216.4,0.1,billetera
cor_030,ZA,ZW,Beta,3040.4,45.997714,46.436181,0,31.99,24,billetera
cor_031,ZA,ZW,Gamma,2477.11,45.675671,46.436181,0,64.97,0.1,billetera
cor_032,ZA,ZW,Delta,10108.9,45.450908,46.436181,0,3.94,72,efectivo
cor_033,FR,SN,Alfa,4738.62,12.924208,13.623149,0,181.49,24,billetera
cor_034,FR,SN,Beta,1885.95,13.150861,13.623149,22,203.94,72,billetera
cor_035,FR,SN,Gamma,8642.58,13.554168,13.623149,22,218.58,72,cuenta
cor_036,FR,SN,Delta,337.07,13.527517,13.623149,15,276.0,24,billetera
