transaction_id,account_id,hour,amount,channel,country_code,is_anomaly
T00001,ACC019,7,141017,pos,CL,0
T00002,ACC021,7,148951,web,CL,0
T00003,ACC006,11,113358,pos,CL,0
T00004,ACC011,15,14181,pos,CL,0
T00005,ACC011,21,56485,atm,CL,0
T00006,ACC009,15,100385,pos,CL,0
T00007,ACC024,22,22471,web,CL,0
T00008,ACC008,8,142405,atm,CL,0
T00009,ACC008,8,18987,web,CL,0
T00010,ACC008,7,53261,mobile,CL,0
T00011,ACC019,22,34088,web,CL,0
T00012,ACC025,21,58138,atm,CL,0
T00013,ACC025,12,97703,web,CL,0
T00014,ACC019,16,43930,web,CL,0
T00015,ACC013,16,7731,pos,CL,0
T00016,ACC004,9,52990,mobile,CL,0
T00017,ACC012,10,80058,web,CL,0
T00018,ACC003,20,140655,atm,CL,0
T00019,ACC028,17,133634,web,CL,0
T00020,ACC014,22,111115,web,CL,0
T00021,ACC014,21,95945,mobile,CL,0
T00022,ACC020,23,47173,atm,CL,0
T00023,ACC014,22,142078,pos,CL,0
T00024,ACC027,17,71358,mobile,CL,0
T00025,ACC008,15,23718,pos,CL,0
T00026,ACC001,19,122820,atm,CL,0
T00027,ACC016,17,130579,mobile,CL,0
T00028,ACC011,18,56605,atm,CL,0
T00029,ACC017,15,74310,web,CL,0
T00030,ACC024,9,51084,mobile,CL,0
T00031,ACC023,22,107542,mobile,CL,0
T00032,ACC026,22,125804,pos,CL,0
T00033,ACC008,9,5520,atm,CL,0
T00034,ACC022,14,107011,atm,CL,0
T00035,ACC014,22,97736,atm,CL,0
T00036,ACC023,17,145281,atm,CL,0
T00037,ACC009,15,119946,atm,CL,0
T00038,ACC011,10,61434,mobile,CL,0
T00039,ACC007,12,32340,mobile,CL,0
T00040,ACC004,15,127929,atm,CL,0
T00041,ACC012,16,51886,mobile,CL,0
T00042,ACC023,16,48039,web,CL,0
T00043,ACC002,11,141020,atm,CL,0
T00044,ACC021,16,15293,mobile,CL,0
T00045,ACC019,10,129680,web,CL,0
T00046,ACC015,22,75537,pos,CL,0
T00047,ACC028,1,2629024,web,XY,1
T00048,ACC013,10,126233,web,CL,0
T00049,ACC005,9,129908,web,CL,0
T00050,ACC008,16,40111,web,CL,0
T00051,ACC025,20,32051,mobile,CL,0
T00052,ACC030,19,137989,pos,CL,0
T00053,ACC010,16,117056,pos,CL,0
T00054,ACC021,10,16789,mobile,CL,0
T00055,ACC006,15,56318,web,CL,0
